Station,Time(hr),Time(min),G(obs)
53,9,10,185.02
53,9,20,185.11
39,9,40,184.93
24,10,19,185.86
25,10,23,185.66
26,10,27,185.65
27,10,31,185.66
28,10,34,185.59
29,10,38,185.47
30,10,41,185.51
31,10,45,185.46
32,10,50,185.39
33,10,56,185.39
34,11,0,185.39
35,11,5,185.52
36,11,9,185.37
37,11,15,185
38,11,20,184.86
39,11,25,184.86
40,11,29,184.79
41,11,32,184.69
42,11,35,184.67
43,11,39,184.6
44,11,44,184.53
45,11,47,184.56
46,11,52,184.64
47,11,55,184.67
48,11,59,184.67
49,12,2,184.76
50,12,5,184.76
51,12,8,184.8
52,12,12,184.9
53,12,16,185.09
53,12,28,185.03
